6	8
5	5
5	7
5	7
5	8
5	5
5	2
5	4
4	5
6	4
4	3
4	7
5	5
4	6
4	6
4	6
4	4
6	3
4	8
5	8
6	3
5	2
5	6
5	2
5	5
5	5
5	6
5	5
5	3
5	5
6	6
4	6
5	5
5	7
6	2
4	0
4	5
5	6
5	-1
6	6
5	8
5	4
5	8
6	7
5	3
5	4
5	7
5	5
6	5
5	7
9	30
10	33
12	35
10	21
6	24
8	31
8	29
8	33
9	34
11	33
13	28
9	29
9	32
13	32
10	33
12	29
11	35
8	36
7	36
10	25
10	23
13	32
10	29
11	36
8	31
12	27
8	35
9	30
10	27
9	25
11	32
6	29
12	30
6	27
10	28
8	27
10	35
9	28
11	32
7	24
11	27
7	29
14	29
10	30
11	31
10	28
11	33
12	31
9	33
7	31
18	14
23	9
22	10
24	12
19	11
21	13
21	7
24	10
22	12
18	11
18	8
23	6
20	7
26	12
26	11
22	12
22	12
19	12
22	9
21	6
22	13
20	9
22	11
25	9
21	13
23	5
18	11
22	6
22	9
28	10
25	4
22	10
22	9
21	9
22	9
24	10
23	15
24	9
22	10
23	7
22	7
20	6
21	8
21	12
22	15
22	10
21	10
20	12
21	6
22	13
29	30
37	33
28	29
30	32
41	30
15	31
22	33
27	27
28	31
25	30
35	31
27	28
30	28
34	29
24	32
37	30
28	30
31	29
34	34
33	30
30	30
24	29
29	31
33	30
30	32
32	27
39	31
29	26
21	26
36	30
23	33
33	28
31	30
42	33
30	30
31	28
24	34
26	27
40	29
39	28
29	32
31	28
33	31
34	32
38	30
30	29
31	28
35	28
31	27
31	32
